Sample_ID;Upper_Depth_cm;Lower_Depth_cm;Reference;Plot;pH_H2O;pH_KCl;Electrical_Conductivity_mS_cm;Organic_Carbon_pct;Organic_Matter_pct;Bulk_Density_g_cm3;CN_Ratio;Kjeldahl_Nitrogen_mg_kg;Nitrate_Nitrogen_mg_kg;Ammonium_Nitrogen_mg_kg;Nitrogen_pct;Total_Nitrogen_mg_kg;Phosphorus_mg_kg;Potassium_meq_100g;Calcium_meq_100g;Magnesium_meq_100g;Sodium_meq_100g;Boron_mg_kg;Iron_mg_kg;Copper_mg_kg;Zinc_mg_kg;Manganese_mg_kg;Carbonates_pct;CEC_meq_100g;Active_Lime_pct;Clay_pct;Silt_pct;Sand_pct;Gravel_pct;USDA_Classification;CaMg_Ratio;KMg_Ratio;CaK_Ratio;Longitude_EPSG4326;Latitude_EPSG4326
NA_LA_PALMA;0;15;;La Palma;;;;1.8;;1.174533972;;;;;;;;;;;;;;;;;;;;;;;20.4;;;;;-4.928561;37.33584
NA_LA_PALMA;0;15;;La Palma;;;;1.56;;1.234083732;;;;;;;;;;;;;;;;;;;;;;;13.9;;;;;-4.928494;37.335963
NA_LA_PALMA;0;15;;La Palma;;;;1.73;;1.193389019;;;;;;;;;;;;;;;;;;;;;;;14.4;;;;;-4.928395;37.335867
NA_LA_PALMA;0;15;;La Palma;;;;1.52;;1.099847204;;;;;;;;;;;;;;;;;;;;;;;2.5;;;;;-4.92895;37.33599
NA_LA_PALMA;0;15;;La Palma;;;;1.55;;0.996582459;;;;;;;;;;;;;;;;;;;;;;;8.1;;;;;-4.928767;37.335875
NA_LA_PALMA;0;15;;La Palma;;;;1.64;;1.053692574;;;;;;;;;;;;;;;;;;;;;;;10.6;;;;;-4.928613;37.335856
NA_LA_PALMA;0;15;;La Palma;;;;1.65;;1.127432006;;;;;;;;;;;;;;;;;;;;;;;11.1;;;;;-4.928546;37.335979
NA_LA_PALMA;0;15;;La Palma;;;;1.82;;0.945961088;;;;;;;;;;;;;;;;;;;;;;;14.7;;;;;-4.928447;37.335883
NA_SAN_AGUSTÍN;0;15;;San Agustín;;;;1.85;;1.423550983;;;;;;;;;;;;;;;;;;;;;;;18.3;;;;;-5.006294;37.218398
NA_SAN_AGUSTÍN;0;15;;San Agustín;;;;1.43;;1.22287868;;;;;;;;;;;;;;;;;;;;;;;16.5;;;;;-5.005917;37.218237
